"","go_id","pval","padj","description","full_go","cluster"
"26","GO:0016072",9.31417342518916e-54,5.68379521400197e-51,"rRNA metabolic process","GO:0016072 rRNA metabolic process",1
"27","GO:0006412",3.08323801048153e-53,1.81180201015926e-50,"translation","GO:0006412 translation",1
"28","GO:0043043",3.18436146107207e-52,1.80439567647748e-49,"peptide biosynthetic process","GO:0043043 peptide biosynthetic process",1
"29","GO:0009058",6.61812358982024e-51,3.62079823710648e-48,"biosynthetic process","GO:0009058 biosynthetic process",1
"30","GO:1901564",1.93117230970509e-50,1.0213326621927e-47,"organonitrogen compound metabolic process","GO:1901564 organonitrogen compound metabolic process",1
"31","GO:1901576",1.46015415316734e-49,7.47316315940418e-47,"organic substance biosynthetic process","GO:1901576 organic substance biosynthetic process",1
"32","GO:0009059",2.82595047067219e-49,1.40114156774015e-46,"macromolecule biosynthetic process","GO:0009059 macromolecule biosynthetic process",1
"33","GO:0034645",2.27406849976507e-48,1.09334457022038e-45,"cellular macromolecule biosynthetic process","GO:0034645 cellular macromolecule biosynthetic process",1
"34","GO:0044249",1.43445348539681e-47,6.6938349997958e-45,"cellular biosynthetic process","GO:0044249 cellular biosynthetic process",1
"35","GO:0043604",3.11630143465601e-47,1.41266395892149e-44,"amide biosynthetic process","GO:0043604 amide biosynthetic process",1
"36","GO:0043412",1.24007089124481e-45,5.46526798902504e-43,"macromolecule modification","GO:0043412 macromolecule modification",1
"37","GO:0044271",3.58301191591195e-45,1.536434244807e-42,"cellular nitrogen compound biosynthetic process","GO:0044271 cellular nitrogen compound biosynthetic process",1
"38","GO:0006397",4.97189241847047e-45,2.07589592398559e-42,"mRNA processing","GO:0006397 mRNA processing",1
"39","GO:0044265",3.26143174941466e-43,1.32681733682597e-40,"cellular macromolecule catabolic process","GO:0044265 cellular macromolecule catabolic process",1
"40","GO:0006518",1.99405307163476e-39,7.90941150863926e-37,"peptide metabolic process","GO:0006518 peptide metabolic process",1
"41","GO:0006464",2.93632114289938e-39,1.10923026793432e-36,"cellular protein modification process","GO:0006464 cellular protein modification process",1
"42","GO:0036211",2.93632114289938e-39,1.10923026793432e-36,"protein modification process","GO:0036211 protein modification process",1
"43","GO:1901566",8.43190021720721e-39,3.11117508944673e-36,"organonitrogen compound biosynthetic process","GO:1901566 organonitrogen compound biosynthetic process",1
"44","GO:0008380",2.11399373773709e-38,7.62286923703107e-36,"RNA splicing","GO:0008380 RNA splicing",1
"45","GO:0009057",1.91491044280573e-37,6.75154868567905e-35,"macromolecule catabolic process","GO:0009057 macromolecule catabolic process",1
"46","GO:0051171",1.67800438043233e-33,5.78765597824769e-31,"regulation of nitrogen compound metabolic process","GO:0051171 regulation of nitrogen compound metabolic process",1
"47","GO:0060255",3.33728809932779e-33,1.12658325497734e-30,"regulation of macromolecule metabolic process","GO:0060255 regulation of macromolecule metabolic process",1
"48","GO:0046907",5.35303494135097e-32,1.76940109123905e-29,"intracellular transport","GO:0046907 intracellular transport",1
"49","GO:0031323",6.40613435972408e-32,2.07428015819148e-29,"regulation of cellular metabolic process","GO:0031323 regulation of cellular metabolic process",1
"50","GO:0080090",1.38785417145172e-31,4.40393885685061e-29,"regulation of primary metabolic process","GO:0080090 regulation of primary metabolic process",1
"51","GO:0010608",3.67654807153193e-31,1.1437668961358e-28,"posttranscriptional regulation of gene expression","GO:0010608 posttranscriptional regulation of gene expression",1
"52","GO:0043632",2.08357168698006e-30,6.35729776646645e-28,"modification-dependent macromolecule catabolic process","GO:0043632 modification-dependent macromolecule catabolic process",1
"53","GO:0043603",5.33006043904846e-30,1.5955988476593e-27,"cellular amide metabolic process","GO:0043603 cellular amide metabolic process",1
"54","GO:0010556",1.14279924504553e-29,3.35771348553564e-27,"regulation of macromolecule biosynthetic process","GO:0010556 regulation of macromolecule biosynthetic process",1
"55","GO:0019222",3.32217238338012e-29,9.58356127903798e-27,"regulation of metabolic process","GO:0019222 regulation of metabolic process",1
"56","GO:0000375",4.30036830807765e-29,1.17637316510276e-26,"RNA splicing, via transesterification reactions","GO:0000375 RNA splicing, via transesterification reactions",1
"57","GO:0000377",4.30036830807765e-29,1.17637316510276e-26,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","GO:0000377 RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",1
"58","GO:0000398",4.30036830807765e-29,1.17637316510276e-26,"mRNA splicing, via spliceosome","GO:0000398 mRNA splicing, via spliceosome",1
"59","GO:0033036",4.45665146016388e-29,1.19846156045695e-26,"macromolecule localization","GO:0033036 macromolecule localization",1
"60","GO:0009889",5.06543434863347e-29,1.33946968959031e-26,"regulation of biosynthetic process","GO:0009889 regulation of biosynthetic process",1
"61","GO:2000112",1.35289395851177e-28,3.51885500749962e-26,"regulation of cellular macromolecule biosynthetic process","GO:2000112 regulation of cellular macromolecule biosynthetic process",1
"62","GO:0006417",1.57935616899931e-28,4.04162338344244e-26,"regulation of translation","GO:0006417 regulation of translation",1
"63","GO:0019941",3.3389356524401e-28,8.40881794628802e-26,"modification-dependent protein catabolic process","GO:0019941 modification-dependent protein catabolic process",1
"64","GO:0051173",5.25341850077763e-28,1.30235528020841e-25,"positive regulation of nitrogen compound metabolic process","GO:0051173 positive regulation of nitrogen compound metabolic process",1
"65","GO:0010468",1.28325892385246e-27,3.13233632089894e-25,"regulation of gene expression","GO:0010468 regulation of gene expression",1
"66","GO:0031326",1.74547045697237e-27,4.19600519247328e-25,"regulation of cellular biosynthetic process","GO:0031326 regulation of cellular biosynthetic process",1
"67","GO:0034248",1.96825078724796e-27,4.66093537171285e-25,"regulation of cellular amide metabolic process","GO:0034248 regulation of cellular amide metabolic process",1
"68","GO:0006511",5.48070498968657e-27,1.27877743185834e-24,"ubiquitin-dependent protein catabolic process","GO:0006511 ubiquitin-dependent protein catabolic process",1
"69","GO:0031325",5.76667697109298e-27,1.32600140323712e-24,"positive regulation of cellular metabolic process","GO:0031325 positive regulation of cellular metabolic process",1
"70","GO:0051603",7.5489558893105e-27,1.71102477342572e-24,"proteolysis involved in cellular protein catabolic process","GO:0051603 proteolysis involved in cellular protein catabolic process",1
"71","GO:0010604",8.12145968916301e-27,1.81486027363747e-24,"positive regulation of macromolecule metabolic process","GO:0010604 positive regulation of macromolecule metabolic process",1
"72","GO:0071705",1.28881163291193e-26,2.84003963441399e-24,"nitrogen compound transport","GO:0071705 nitrogen compound transport",1
"73","GO:0070647",1.48371705514475e-26,3.22474723245569e-24,"protein modification by small protein conjugation or removal","GO:0070647 protein modification by small protein conjugation or removal",1
"74","GO:0045184",2.32312527622604e-26,4.98090616656789e-24,"establishment of protein localization","GO:0045184 establishment of protein localization",1
"75","GO:0019219",2.67777196484495e-26,5.59020131503026e-24,"regulation of nucleobase-containing compound metabolic process","GO:0019219 regulation of nucleobase-containing compound metabolic process",1
"76","GO:0044257",2.64580194051874e-26,5.59020131503026e-24,"cellular protein catabolic process","GO:0044257 cellular protein catabolic process",1
"77","GO:0071840",2.88757838738379e-26,5.94991151873133e-24,"cellular component organization or biogenesis","GO:0071840 cellular component organization or biogenesis",1
"78","GO:0042273",5.00923711616281e-26,1.01893020621845e-23,"ribosomal large subunit biogenesis","GO:0042273 ribosomal large subunit biogenesis",1
"79","GO:1903311",5.11268157137805e-26,1.0268076684998e-23,"regulation of mRNA metabolic process","GO:1903311 regulation of mRNA metabolic process",1
"80","GO:0051641",5.55583092830901e-25,1.10186016885688e-22,"cellular localization","GO:0051641 cellular localization",1
"81","GO:0051252",1.18604488524094e-24,2.3231837221275e-22,"regulation of RNA metabolic process","GO:0051252 regulation of RNA metabolic process",1
"82","GO:0009893",2.62499153480626e-24,5.07903849893124e-22,"positive regulation of metabolic process","GO:0009893 positive regulation of metabolic process",1
"83","GO:0015031",3.46688896141533e-24,6.62718798335128e-22,"protein transport","GO:0015031 protein transport",1
"84","GO:0045935",4.29451299823916e-24,8.11151705119791e-22,"positive regulation of nucleobase-containing compound metabolic process","GO:0045935 positive regulation of nucleobase-containing compound metabolic process",1
"85","GO:0071702",5.15501649358947e-24,9.62229313968123e-22,"organic substance transport","GO:0071702 organic substance transport",1
"86","GO:0030163",8.0090492943882e-24,1.47757646633446e-21,"protein catabolic process","GO:0030163 protein catabolic process",1
"87","GO:0008104",9.12703659720144e-24,1.66447773162297e-21,"protein localization","GO:0008104 protein localization",1
"88","GO:0070727",1.79101952126984e-23,3.22912678687128e-21,"cellular macromolecule localization","GO:0070727 cellular macromolecule localization",1
"89","GO:0032268",4.87417292235832e-23,8.68917163889182e-21,"regulation of cellular protein metabolic process","GO:0032268 regulation of cellular protein metabolic process",1
"90","GO:0006886",1.3768309749272e-22,2.42720002757722e-20,"intracellular protein transport","GO:0006886 intracellular protein transport",1
"91","GO:0034613",1.473312570701e-22,2.56874475238924e-20,"cellular protein localization","GO:0034613 cellular protein localization",1
"92","GO:0051254",2.57322201333778e-22,4.43768918082795e-20,"positive regulation of RNA metabolic process","GO:0051254 positive regulation of RNA metabolic process",1
"93","GO:0006401",3.17958519861333e-22,5.42444072701065e-20,"RNA catabolic process","GO:0006401 RNA catabolic process",1
"94","GO:0033365",5.12292922892632e-22,8.64685054746224e-20,"protein localization to organelle","GO:0033365 protein localization to organelle",1
"95","GO:0006403",5.28161049452343e-22,8.82084548485355e-20,"RNA localization","GO:0006403 RNA localization",1
"96","GO:0071826",6.25642312034988e-22,1.03400426278616e-19,"ribonucleoprotein complex subunit organization","GO:0071826 ribonucleoprotein complex subunit organization",1
"97","GO:0010557",8.84567206787729e-22,1.44686013431898e-19,"positive regulation of macromolecule biosynthetic process","GO:0010557 positive regulation of macromolecule biosynthetic process",1
"98","GO:0009891",2.11503319143761e-21,3.42419557299481e-19,"positive regulation of biosynthetic process","GO:0009891 positive regulation of biosynthetic process",1
"99","GO:0051246",2.24963861581484e-21,3.60532992712305e-19,"regulation of protein metabolic process","GO:0051246 regulation of protein metabolic process",1
"100","GO:0050789",2.40147120920605e-21,3.81017422052631e-19,"regulation of biological process","GO:0050789 regulation of biological process",1
"101","GO:0032446",2.55367877971456e-21,4.01155123950012e-19,"protein modification by small protein conjugation","GO:0032446 protein modification by small protein conjugation",1
"102","GO:0051649",2.60158439621609e-21,4.04673902258475e-19,"establishment of localization in cell","GO:0051649 establishment of localization in cell",1
"103","GO:0022618",2.64660103716293e-21,4.07679340345893e-19,"ribonucleoprotein complex assembly","GO:0022618 ribonucleoprotein complex assembly",1
"104","GO:0048522",2.82266093540912e-21,4.30618638473088e-19,"positive regulation of cellular process","GO:0048522 positive regulation of cellular process",1
"105","GO:0043161",2.9248220942122e-21,4.41954546159721e-19,"proteasome-mediated ubiquitin-dependent protein catabolic process","GO:0043161 proteasome-mediated ubiquitin-dependent protein catabolic process",1
"106","GO:0031328",4.79132176140595e-21,7.17161425155347e-19,"positive regulation of cellular biosynthetic process","GO:0031328 positive regulation of cellular biosynthetic process",1
"107","GO:0044085",6.07102682186019e-21,9.00214126688166e-19,"cellular component biogenesis","GO:0044085 cellular component biogenesis",1
"108","GO:0050794",7.18493890698306e-21,1.05552074720549e-18,"regulation of cellular process","GO:0050794 regulation of cellular process",1
"109","GO:0006402",8.53451136520091e-21,1.24228034238787e-18,"mRNA catabolic process","GO:0006402 mRNA catabolic process",1
"110","GO:0042274",2.43931849851939e-20,3.51838429977351e-18,"ribosomal small subunit biogenesis","GO:0042274 ribosomal small subunit biogenesis",1
"111","GO:0010498",2.59845048528732e-20,3.71414553149267e-18,"proteasomal protein catabolic process","GO:0010498 proteasomal protein catabolic process",1
"112","GO:0065007",4.72125500147501e-20,6.68816355833951e-18,"biological regulation","GO:0065007 biological regulation",1
"113","GO:0048518",7.2554179667117e-20,1.01871204831724e-17,"positive regulation of biological process","GO:0048518 positive regulation of biological process",1
"114","GO:0016567",1.72823821248627e-19,2.40528311221993e-17,"protein ubiquitination","GO:0016567 protein ubiquitination",1
"115","GO:0018130",3.43120593992268e-19,4.73387073415768e-17,"heterocycle biosynthetic process","GO:0018130 heterocycle biosynthetic process",1
"116","GO:0048519",4.4174157560775e-19,6.04195848154531e-17,"negative regulation of biological process","GO:0048519 negative regulation of biological process",1
"117","GO:1901362",4.68983627846844e-19,6.35973866616926e-17,"organic cyclic compound biosynthetic process","GO:1901362 organic cyclic compound biosynthetic process",1
"118","GO:0051236",5.02447354100489e-19,6.75578789843929e-17,"establishment of RNA localization","GO:0051236 establishment of RNA localization",1
"119","GO:0034654",8.64760670761161e-19,1.15296578170559e-16,"nucleobase-containing compound biosynthetic process","GO:0034654 nucleobase-containing compound biosynthetic process",1
"120","GO:0019438",1.12718574774554e-18,1.4903274228109e-16,"aromatic compound biosynthetic process","GO:0019438 aromatic compound biosynthetic process",1
"121","GO:0051028",1.15587571966024e-18,1.51563009653962e-16,"mRNA transport","GO:0051028 mRNA transport",1
"122","GO:0050657",1.43662166954302e-18,1.85312515520078e-16,"nucleic acid transport","GO:0050657 nucleic acid transport",1
"123","GO:0050658",1.43662166954302e-18,1.85312515520078e-16,"RNA transport","GO:0050658 RNA transport",1
"124","GO:0030490",1.90888325215808e-18,2.44244690957581e-16,"maturation of SSU-rRNA","GO:0030490 maturation of SSU-rRNA",1
"125","GO:0044248",2.06160863318722e-18,2.61675860593188e-16,"cellular catabolic process","GO:0044248 cellular catabolic process",1
"126","GO:0033554",7.22719417694598e-18,9.10052879455753e-16,"cellular response to stress","GO:0033554 cellular response to stress",1
"127","GO:0048523",8.46109258348899e-18,1.05703696794989e-15,"negative regulation of cellular process","GO:0048523 negative regulation of cellular process",1
"128","GO:0032774",1.08148319515e-17,1.34053221673827e-15,"RNA biosynthetic process","GO:0032774 RNA biosynthetic process",1
"129","GO:0006913",1.13112164358306e-17,1.38049046131452e-15,"nucleocytoplasmic transport","GO:0006913 nucleocytoplasmic transport",1
"130","GO:0051169",1.13112164358306e-17,1.38049046131452e-15,"nuclear transport","GO:0051169 nuclear transport",1
"131","GO:0002181",1.45718086964392e-17,1.76485737998248e-15,"cytoplasmic translation","GO:0002181 cytoplasmic translation",1
"132","GO:0097659",1.79915784828475e-17,2.16253321370348e-15,"nucleic acid-templated transcription","GO:0097659 nucleic acid-templated transcription",1
"133","GO:0006351",3.54445140505986e-17,4.22829067614133e-15,"transcription, DNA-templated","GO:0006351 transcription, DNA-templated",1
"134","GO:0051168",1.28610248192686e-16,1.52278372972026e-14,"nuclear export","GO:0051168 nuclear export",1
"135","GO:0015931",2.02539361069165e-16,2.38036259460991e-14,"nucleobase-containing compound transport","GO:0015931 nucleobase-containing compound transport",1
"136","GO:0034976",2.3442927343916e-16,2.73489327381302e-14,"response to endoplasmic reticulum stress","GO:0034976 response to endoplasmic reticulum stress",1
"137","GO:0072594",7.51420808846082e-16,8.70222084171674e-14,"establishment of protein localization to organelle","GO:0072594 establishment of protein localization to organelle",1
"138","GO:0010605",1.09552999696654e-15,1.25954195158487e-13,"negative regulation of macromolecule metabolic process","GO:0010605 negative regulation of macromolecule metabolic process",1
"139","GO:0031123",1.13668766096473e-15,1.29745945531413e-13,"RNA 3'-end processing","GO:0031123 RNA 3'-end processing",1
"140","GO:0006399",1.40821149373979e-15,1.59590596854825e-13,"tRNA metabolic process","GO:0006399 tRNA metabolic process",1
"141","GO:0008219",1.71119799116708e-15,1.92552250552177e-13,"cell death","GO:0008219 cell death",1
"142","GO:1902680",2.20696547990799e-15,2.46589537353663e-13,"positive regulation of RNA biosynthetic process","GO:1902680 positive regulation of RNA biosynthetic process",1
"143","GO:0045893",2.64040154467615e-15,2.90920909082165e-13,"positive regulation of transcription, DNA-templated","GO:0045893 positive regulation of transcription, DNA-templated",1
"144","GO:1903508",2.64040154467615e-15,2.90920909082165e-13,"positive regulation of nucleic acid-templated transcription","GO:1903508 positive regulation of nucleic acid-templated transcription",1
"145","GO:0017148",2.86867806954576e-15,3.13892732768365e-13,"negative regulation of translation","GO:0017148 negative regulation of translation",1
"146","GO:0051172",4.08220128081317e-15,4.43617846036861e-13,"negative regulation of nitrogen compound metabolic process","GO:0051172 negative regulation of nitrogen compound metabolic process",1
"147","GO:0050684",5.7319797772126e-15,6.18663885341871e-13,"regulation of mRNA processing","GO:0050684 regulation of mRNA processing",1
"148","GO:0031324",6.18434959264271e-15,6.62978990789658e-13,"negative regulation of cellular metabolic process","GO:0031324 negative regulation of cellular metabolic process",1
"149","GO:0018193",8.78113815358691e-15,9.35043878824228e-13,"peptidyl-amino acid modification","GO:0018193 peptidyl-amino acid modification",1
"150","GO:0009892",1.277471732177e-14,1.35122443351469e-12,"negative regulation of metabolic process","GO:0009892 negative regulation of metabolic process",1
"151","GO:2001141",1.41833470346695e-14,1.49028466259647e-12,"regulation of RNA biosynthetic process","GO:2001141 regulation of RNA biosynthetic process",1
"152","GO:1903506",1.88633709494296e-14,1.96898844397138e-12,"regulation of nucleic acid-templated transcription","GO:1903506 regulation of nucleic acid-templated transcription",1
"153","GO:0000956",2.16600591064277e-14,2.24613397243518e-12,"nuclear-transcribed mRNA catabolic process","GO:0000956 nuclear-transcribed mRNA catabolic process",1
"154","GO:0000470",2.38826041458239e-14,2.46052855440028e-12,"maturation of LSU-rRNA","GO:0000470 maturation of LSU-rRNA",1
"155","GO:0071166",2.49933378299143e-14,2.55835030973819e-12,"ribonucleoprotein complex localization","GO:0071166 ribonucleoprotein complex localization",1
"156","GO:0043484",3.18424098647062e-14,3.23853637765018e-12,"regulation of RNA splicing","GO:0043484 regulation of RNA splicing",1
"157","GO:0006355",3.51569662496772e-14,3.55286895870942e-12,"regulation of transcription, DNA-templated","GO:0006355 regulation of transcription, DNA-templated",1
"158","GO:1901575",4.11738381290316e-14,4.13458301110896e-12,"organic substance catabolic process","GO:1901575 organic substance catabolic process",1
"159","GO:0010629",4.85928820674649e-14,4.84889727598993e-12,"negative regulation of gene expression","GO:0010629 negative regulation of gene expression",1
"160","GO:0071426",6.66699799043273e-14,6.61116188226286e-12,"ribonucleoprotein complex export from nucleus","GO:0071426 ribonucleoprotein complex export from nucleus",1
"161","GO:0043487",7.18182842272616e-14,7.07744656863188e-12,"regulation of RNA stability","GO:0043487 regulation of RNA stability",1
"162","GO:0034655",1.02776779885307e-13,1.00657801830882e-11,"nucleobase-containing compound catabolic process","GO:0034655 nucleobase-containing compound catabolic process",1
"163","GO:0034249",1.22070721957549e-13,1.18820495372913e-11,"negative regulation of cellular amide metabolic process","GO:0034249 negative regulation of cellular amide metabolic process",1
"164","GO:0031329",1.53723458587448e-13,1.48718072801735e-11,"regulation of cellular catabolic process","GO:0031329 regulation of cellular catabolic process",1
"165","GO:1903312",1.86738230901083e-13,1.79562955847066e-11,"negative regulation of mRNA metabolic process","GO:1903312 negative regulation of mRNA metabolic process",1
"166","GO:0016043",1.99347608497168e-13,1.90533081711812e-11,"cellular component organization","GO:0016043 cellular component organization",1
"167","GO:0010941",2.36563727211805e-13,2.24749706343862e-11,"regulation of cell death","GO:0010941 regulation of cell death",1
"168","GO:0051234",3.3183303595145e-13,3.13384699309864e-11,"establishment of localization","GO:0051234 establishment of localization",1
"169","GO:0000462",5.19338757480065e-13,4.87563829951403e-11,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","GO:0000462 maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",1
"170","GO:0009056",5.31713798706056e-13,4.96245360604135e-11,"catabolic process","GO:0009056 catabolic process",1
"171","GO:0051179",7.10132268341142e-13,6.58886466052664e-11,"localization","GO:0051179 localization",1
"172","GO:0061013",7.92716870321167e-13,7.31235224681141e-11,"regulation of mRNA catabolic process","GO:0061013 regulation of mRNA catabolic process",1
"173","GO:1901565",8.22425315148256e-13,7.5425433815851e-11,"organonitrogen compound catabolic process","GO:1901565 organonitrogen compound catabolic process",1
"174","GO:0012501",8.975715591518e-13,8.1844082514382e-11,"programmed cell death","GO:0012501 programmed cell death",1
"175","GO:0006413",9.48097710246108e-13,8.59572472615129e-11,"translational initiation","GO:0006413 translational initiation",1
"176","GO:0006915",1.03322562358546e-12,9.31429417261757e-11,"apoptotic process","GO:0006915 apoptotic process",1
"177","GO:0006405",1.09892076405613e-12,9.85055188842630e-11,"RNA export from nucleus","GO:0006405 RNA export from nucleus",1
"178","GO:0006888",1.27216971919256e-12,1.13394633509602e-10,"endoplasmic reticulum to Golgi vesicle-mediated transport","GO:0006888 endoplasmic reticulum to Golgi vesicle-mediated transport",1
"179","GO:0044270",1.8674827603556e-12,1.65527829473754e-10,"cellular nitrogen compound catabolic process","GO:0044270 cellular nitrogen compound catabolic process",1
"180","GO:0006810",2.09724556852078e-12,1.84860545500837e-10,"transport","GO:0006810 transport",1
"181","GO:0043488",2.11555916394823e-12,1.854445397525e-10,"regulation of mRNA stability","GO:0043488 regulation of mRNA stability",1
"182","GO:0009451",2.734158016201e-12,2.38352478489258e-10,"RNA modification","GO:0009451 RNA modification",1
"183","GO:0042255",3.85460089814608e-12,3.34191791529976e-10,"ribosome assembly","GO:0042255 ribosome assembly",1
"184","GO:0010033",4.25662781165086e-12,3.67041613367677e-10,"response to organic substance","GO:0010033 response to organic substance",1
"185","GO:0006457",5.09780302930385e-12,4.34848079908252e-10,"protein folding","GO:0006457 protein folding",1
"186","GO:0046700",5.07791250432686e-12,4.34848079908252e-10,"heterocycle catabolic process","GO:0046700 heterocycle catabolic process",1
"187","GO:0016570",6.55662216126035e-12,5.56296081339875e-10,"histone modification","GO:0016570 histone modification",1
"188","GO:0000460",7.21002711050409e-12,6.08480266676904e-10,"maturation of 5.8S rRNA","GO:0000460 maturation of 5.8S rRNA",1
"189","GO:0006508",7.34432672990669e-12,6.16534856596294e-10,"proteolysis","GO:0006508 proteolysis",1
"190","GO:0035556",8.57238200493898e-12,7.15839015212431e-10,"intracellular signal transduction","GO:0035556 intracellular signal transduction",1
"191","GO:0032270",8.86327035743873e-12,7.36254698906403e-10,"positive regulation of cellular protein metabolic process","GO:0032270 positive regulation of cellular protein metabolic process",1
"192","GO:0009894",1.35123989782513e-11,1.11660271973404e-09,"regulation of catabolic process","GO:0009894 regulation of catabolic process",1
"193","GO:0042981",1.45724764088317e-11,1.19796326788873e-09,"regulation of apoptotic process","GO:0042981 regulation of apoptotic process",1
"194","GO:0043067",1.8287313241704e-11,1.4956005767674e-09,"regulation of programmed cell death","GO:0043067 regulation of programmed cell death",1
"195","GO:0010558",1.9461768395301e-11,1.58348931979408e-09,"negative regulation of macromolecule biosynthetic process","GO:0010558 negative regulation of macromolecule biosynthetic process",1
"196","GO:0071310",1.97452887964508e-11,1.59836097981882e-09,"cellular response to organic substance","GO:0071310 cellular response to organic substance",1
"197","GO:0051247",2.0449279948684e-11,1.64694556175543e-09,"positive regulation of protein metabolic process","GO:0051247 positive regulation of protein metabolic process",1
"198","GO:1903313",2.3543865652563e-11,1.8866008709271e-09,"positive regulation of mRNA metabolic process","GO:1903313 positive regulation of mRNA metabolic process",1
"199","GO:0043933",2.6718423759909e-11,2.13022367524983e-09,"protein-containing complex subunit organization","GO:0043933 protein-containing complex subunit organization",1
"200","GO:0035966",3.00010357498963e-11,2.37998216603927e-09,"response to topologically incorrect protein","GO:0035966 response to topologically incorrect protein",1
"201","GO:0006996",3.11687197110392e-11,2.4603129698276e-09,"organelle organization","GO:0006996 organelle organization",1
"202","GO:2000113",4.65020360757601e-11,3.65248170484163e-09,"negative regulation of cellular macromolecule biosynthetic process","GO:2000113 negative regulation of cellular macromolecule biosynthetic process",1
"203","GO:0009890",5.90486594017314e-11,4.61510359639345e-09,"negative regulation of biosynthetic process","GO:0009890 negative regulation of biosynthetic process",1
"204","GO:0031399",8.6289986056607e-11,6.71116136653983e-09,"regulation of protein modification process","GO:0031399 regulation of protein modification process",1
"205","GO:0048024",9.06854527243937e-11,7.018611672806e-09,"regulation of mRNA splicing, via spliceosome","GO:0048024 regulation of mRNA splicing, via spliceosome",1
"206","GO:0060548",1.07921189807768e-10,8.31202717228179e-09,"negative regulation of cell death","GO:0060548 negative regulation of cell death",1
"207","GO:0031327",1.70947167167317e-10,1.31026461559259e-08,"negative regulation of cellular biosynthetic process","GO:0031327 negative regulation of cellular biosynthetic process",1
"208","GO:0019439",1.83480145819023e-10,1.39956538152145e-08,"aromatic compound catabolic process","GO:0019439 aromatic compound catabolic process",1
"209","GO:0048193",1.85917065953189e-10,1.41136850163316e-08,"Golgi vesicle transport","GO:0048193 Golgi vesicle transport",1
"210","GO:0065003",2.02010212994972e-10,1.52623525684678e-08,"protein-containing complex assembly","GO:0065003 protein-containing complex assembly",1
