"","go_id","description","Annotated","Significant","Expected","pval","padj","fold_enrichment","term_coverage","full_go"
"13","GO:0046395","carboxylic acid catabolic process",189,98,58.9,"2.2e-09",2.64558461538462e-06,1.66383701188455,0.518518518518518,"GO:0046395 carboxylic acid catabolic process"
"14","GO:0044281","small molecule metabolic process",1429,545,445.35,"2.5e-09",2.79160714285714e-06,1.22375659593578,0.381385584324703,"GO:0044281 small molecule metabolic process"
"15","GO:0044242","cellular lipid catabolic process",193,99,60.15,"3.9e-09",4.06458e-06,1.64588528678304,0.512953367875648,"GO:0044242 cellular lipid catabolic process"
"16","GO:0009062","fatty acid catabolic process",93,56,28.98,"6.6e-09",6.4486125e-06,1.93236714975845,0.602150537634409,"GO:0009062 fatty acid catabolic process"
"17","GO:0034440","lipid oxidation",104,60,32.41,"1.9e-08",1.74721764705882e-05,1.85128046899105,0.576923076923077,"GO:0034440 lipid oxidation"
"18","GO:0019395","fatty acid oxidation",100,58,31.17,"2.5e-08",2.17125e-05,1.86076355470003,0.58,"GO:0019395 fatty acid oxidation"
"19","GO:0007399","nervous system development",2197,793,684.7,"5.9e-08",4.85445789473684e-05,1.15817146195414,0.36094674556213,"GO:0007399 nervous system development"
"20","GO:0042073","intraciliary transport",48,33,14.96,"9.4e-08",7.34751e-05,2.20588235294118,0.6875,"GO:0042073 intraciliary transport"
"21","GO:0048812","neuron projection morphogenesis",653,263,203.51,"3.1e-07",0.000230772857142857,1.29231978772542,0.402756508422665,"GO:0048812 neuron projection morphogenesis"
"22","GO:1901135","carbohydrate derivative metabolic process",834,326,259.92,"3.7e-07",0.000262918636363636,1.25423207140659,0.390887290167866,"GO:1901135 carbohydrate derivative metabolic process"
"23","GO:0048858","cell projection morphogenesis",672,269,209.43,"4.1e-07",0.000278675217391304,1.28443871460631,0.400297619047619,"GO:0048858 cell projection morphogenesis"
"24","GO:0120039","plasma membrane bounded cell projection morphogenesis",667,267,207.87,"4.6e-07",0.0002996325,1.28445663154856,0.400299850074962,"GO:0120039 plasma membrane bounded cell projection morphogenesis"
"25","GO:0007018","microtubule-based movement",362,157,112.82,"5.2e-07",0.0003251664,1.39159723453288,0.433701657458564,"GO:0007018 microtubule-based movement"
"26","GO:0032990","cell part morphogenesis",694,275,216.29,"8.4e-07",0.000505066153846154,1.27144112071756,0.396253602305476,"GO:0032990 cell part morphogenesis"
"27","GO:0007017","microtubule-based process",832,323,259.3,"8.9e-07",0.00051531,1.24566139606633,0.388221153846154,"GO:0007017 microtubule-based process"
"28","GO:0007409","axonogenesis",439,184,136.82,"9.4e-07",0.000524822142857143,1.34483262680895,0.419134396355353,"GO:0007409 axonogenesis"
"29","GO:0000902","cell morphogenesis",1036,390,322.87,"2.6e-06",0.00140157931034483,1.20791649890049,0.376447876447876,"GO:0000902 cell morphogenesis"
"30","GO:0044458","motile cilium assembly",49,31,15.27,"3.6e-06",0.00181544516129032,2.03012442698101,0.63265306122449,"GO:0044458 motile cilium assembly"
"31","GO:0001578","microtubule bundle formation",114,59,35.53,"3.6e-06",0.00181544516129032,1.66056853363355,0.517543859649123,"GO:0001578 microtubule bundle formation"
"32","GO:0048667","cell morphogenesis involved in neuron differentiation",600,238,186.99,"4.2e-06",0.00205183125,1.27279533664902,0.396666666666667,"GO:0048667 cell morphogenesis involved in neuron differentiation"
"33","GO:0006091","generation of precursor metabolites and energy",387,161,120.61,"7.4e-06",0.00350558181818182,1.33488102147417,0.416020671834625,"GO:0006091 generation of precursor metabolites and energy"
"34","GO:0032989","cellular component morphogenesis",780,299,243.09,"7.7e-06",0.00354041470588235,1.22999712040808,0.383333333333333,"GO:0032989 cellular component morphogenesis"
"35","GO:0030258","lipid modification",189,87,58.9,"1.2e-05",0.005211,1.47707979626486,0.46031746031746,"GO:0030258 lipid modification"
"36","GO:0006664","glycolipid metabolic process",81,44,25.24,"1.2e-05",0.005211,1.743264659271,0.54320987654321,"GO:0006664 glycolipid metabolic process"
"37","GO:0061564","axon development",481,193,149.9,"1.5e-05",0.00617092105263158,1.28752501667779,0.401247401247401,"GO:0061564 axon development"
"38","GO:0019637","organophosphate metabolic process",774,295,241.22,"1.5e-05",0.00617092105263158,1.22295000414559,0.381136950904393,"GO:0019637 organophosphate metabolic process"
"39","GO:0035082","axoneme assembly",82,44,25.56,"1.9e-05",0.00724456097560976,1.72143974960876,0.536585365853659,"GO:0035082 axoneme assembly"
"40","GO:1903509","liposaccharide metabolic process",82,44,25.56,"1.9e-05",0.00724456097560976,1.72143974960876,0.536585365853659,"GO:1903509 liposaccharide metabolic process"
"41","GO:0000904","cell morphogenesis involved in differentiation",753,287,234.67,"1.9e-05",0.00724456097560976,1.22299399156262,0.381142098273572,"GO:0000904 cell morphogenesis involved in differentiation"
"42","GO:0006753","nucleoside phosphate metabolic process",408,166,127.15,"2.4e-05",0.008685,1.30554463232403,0.406862745098039,"GO:0006753 nucleoside phosphate metabolic process"
"43","GO:0007010","cytoskeleton organization",1308,474,407.64,"2.5e-05",0.008685,1.16279069767442,0.362385321100917,"GO:0007010 cytoskeleton organization"
"44","GO:0008589","regulation of smoothened signaling pathway",90,47,28.05,"2.5e-05",0.008685,1.67557932263815,0.522222222222222,"GO:0008589 regulation of smoothened signaling pathway"
"45","GO:0007417","central nervous system development",840,316,261.79,"2.5e-05",0.008685,1.20707437258872,0.376190476190476,"GO:0007417 central nervous system development"
"46","GO:0007389","pattern specification process",395,161,123.1,"2.8e-05",0.00931327659574468,1.30787977254265,0.407594936708861,"GO:0007389 pattern specification process"
"47","GO:0022008","neurogenesis",1680,597,523.58,"2.8e-05",0.00931327659574468,1.1402268994232,0.355357142857143,"GO:0022008 neurogenesis"
"48","GO:0110020","regulation of actomyosin structure organization",106,53,33.04,"3.9e-05",0.0127018125,1.60411622276029,0.5,"GO:0110020 regulation of actomyosin structure organization"
"49","GO:0048699","generation of neurons",1561,556,486.49,"4.2e-05",0.0133997142857143,1.14288063475097,0.356181934657271,"GO:0048699 generation of neurons"
"50","GO:0009150","purine ribonucleotide metabolic process",306,128,95.37,"4.5e-05",0.0140697,1.34214113452868,0.418300653594771,"GO:0009150 purine ribonucleotide metabolic process"
"51","GO:0043436","oxoacid metabolic process",758,286,236.23,"4.8e-05",0.0147134117647059,1.21068450239174,0.377308707124011,"GO:0043436 oxoacid metabolic process"
"52","GO:0032787","monocarboxylic acid metabolic process",493,194,153.64,"5.5e-05",0.0165349038461538,1.26269200728977,0.393509127789047,"GO:0032787 monocarboxylic acid metabolic process"
"53","GO:0019693","ribose phosphate metabolic process",335,138,104.4,"5.7e-05",0.0168128490566038,1.32183908045977,0.411940298507463,"GO:0019693 ribose phosphate metabolic process"
"54","GO:0051492","regulation of stress fiber assembly",95,48,29.61,"6.3e-05",0.0182385,1.62107396149949,0.505263157894737,"GO:0051492 regulation of stress fiber assembly"
"55","GO:0033539","fatty acid beta-oxidation using acyl-CoA dehydrogenase",11,10,3.43,"6.8e-05",0.0192620892857143,2.91545189504373,0.909090909090909,"GO:0033539 fatty acid beta-oxidation using acyl-CoA dehydrogenase"
"56","GO:0009247","glycolipid biosynthetic process",59,33,18.39,"6.9e-05",0.0192620892857143,1.79445350734095,0.559322033898305,"GO:0009247 glycolipid biosynthetic process"
"57","GO:0009117","nucleotide metabolic process",401,161,124.97,"7.1e-05",0.0194064827586207,1.28830919420661,0.401496259351621,"GO:0009117 nucleotide metabolic process"
"58","GO:0019752","carboxylic acid metabolic process",750,282,233.74,"7.2e-05",0.0194064827586207,1.2064687259348,0.376,"GO:0019752 carboxylic acid metabolic process"
"59","GO:0005975","carbohydrate metabolic process",507,198,158.01,"7.8e-05",0.0206673559322034,1.25308524776913,0.390532544378698,"GO:0005975 carbohydrate metabolic process"
"60","GO:0030038","contractile actin filament bundle assembly",111,54,34.59,"8.5e-05",0.0217836885245902,1.561144839549,0.486486486486487,"GO:0030038 contractile actin filament bundle assembly"
"61","GO:0043149","stress fiber assembly",111,54,34.59,"8.5e-05",0.0217836885245902,1.561144839549,0.486486486486487,"GO:0043149 stress fiber assembly"
"62","GO:0099111","microtubule-based transport",203,89,63.27,"8.9e-05",0.0224409193548387,1.40666982772246,0.438423645320197,"GO:0099111 microtubule-based transport"
"63","GO:0009259","ribonucleotide metabolic process",324,133,100.98,"9.2e-05",0.0228291428571429,1.31709249356308,0.410493827160494,"GO:0009259 ribonucleotide metabolic process"
"64","GO:0006082","organic acid metabolic process",779,291,242.78,"9.4e-05",0.02296096875,1.19861603097454,0.373555840821566,"GO:0006082 organic acid metabolic process"
"65","GO:0006163","purine nucleotide metabolic process",330,135,102.85,"9.9e-05",0.0236863636363636,1.31259115216334,0.409090909090909,"GO:0006163 purine nucleotide metabolic process"
"66","GO:0019318","hexose metabolic process",220,95,68.56,"0.00010",0.0236863636363636,1.38564760793466,0.431818181818182,"GO:0019318 hexose metabolic process"
"67","GO:0006577","amino-acid betaine metabolic process",13,11,4.05,"0.00011",0.0252886764705882,2.71604938271605,0.846153846153846,"GO:0006577 amino-acid betaine metabolic process"
"68","GO:0070286","axonemal dynein complex assembly",35,22,10.91,"0.00011",0.0252886764705882,2.01649862511457,0.628571428571429,"GO:0070286 axonemal dynein complex assembly"
"69","GO:0007368","determination of left/right symmetry",115,55,35.84,"0.00013",0.0290327142857143,1.53459821428571,0.478260869565217,"GO:0007368 determination of left/right symmetry"
"70","GO:0030182","neuron differentiation",1398,497,435.69,"0.00013",0.0290327142857143,1.1407193187817,0.355507868383405,"GO:0030182 neuron differentiation"
"71","GO:0072521","purine-containing compound metabolic process",352,142,109.7,"0.00014",0.0308256338028169,1.29443938012762,0.403409090909091,"GO:0072521 purine-containing compound metabolic process"
"72","GO:0046034","ATP metabolic process",241,102,75.11,"0.00015",0.03256875,1.35800825455998,0.423236514522822,"GO:0046034 ATP metabolic process"
"73","GO:0055086","nucleobase-containing small molecule metabolic process",460,179,143.36,"0.00021",0.0449716438356164,1.24860491071429,0.389130434782609,"GO:0055086 nucleobase-containing small molecule metabolic process"
